Id,Prediction
1,6
2,7
3,9
4,9
5,9
6,0
7,0
8,0
9,4
10,5
11,1
12,5
13,5
14,7
15,0
16,5
17,8
18,9
19,0
20,4
21,8
22,9
23,4
24,7
25,1
26,2
27,4
28,9
29,2
30,6
31,4
32,4
33,0
34,8
35,5
36,7
37,9
38,3
39,7
40,3
41,8
42,1
43,8
44,4
45,6
46,4
47,8
48,1
49,0
50,4
51,7
52,9
53,9
54,7
55,6
56,9
57,8
58,1
59,9
60,7
61,2
62,5
63,1
64,7
65,7
66,8
67,0
68,9
69,6
70,0
71,4
72,4
73,9
74,9
75,2
76,8
77,2
78,6
79,8
80,6
81,7
82,8
83,0
84,7
85,3
86,1
87,1
88,3
89,3
90,0
91,1
92,6
93,2
94,1
95,0
96,2
97,0
98,8
99,9
100,5
101,6
102,6
103,0
104,2
105,5
106,9
107,0
108,0
109,2
110,2
111,0
112,2
113,7
114,5
115,5
116,7
117,4
118,1
119,3
120,4
121,0
122,9
123,1
124,3
125,6
126,4
127,3
128,0
129,1
130,5
131,2
132,3
133,8
134,7
135,6
136,7
137,0
138,8
139,8
140,3
141,4
142,2
143,5
144,2
145,0
146,1
147,9
148,3
149,5
150,1
151,9
152,9
153,3
154,2
155,2
156,1
157,6
158,4
159,3
160,8
161,8
162,7
163,2
164,6
165,1
166,3
167,5
168,0
169,0
170,2
171,7
172,3
173,9
174,1
175,7
176,1
177,9
178,9
179,8
180,7
181,9
182,1
183,7
184,5
185,1
186,0
187,2
188,9
189,5
190,0
191,8
192,8
193,4
194,1
195,7
196,2
197,7
198,1
199,6
200,7
201,8
202,4
203,1
204,0
205,3
206,2
207,0
208,2
209,3
210,0
211,9
212,0
213,8
214,1
215,1
216,8
217,8
218,4
219,7
220,1
221,6
222,9
223,1
224,9
225,0
226,0
227,3
228,6
229,7
230,0
231,6
232,3
233,2
234,5
235,2
236,7
237,7
238,4
239,4
240,3
241,0
242,1
243,8
244,1
245,3
246,8
247,0
248,9
249,7
250,5
251,0
252,7
253,8
254,3
255,3
256,4
257,1
258,7
259,8
260,5
261,8
262,1
263,7
264,3
265,9
266,1
267,3
268,1
269,5
270,8
271,2
272,9
273,0
274,7
275,2
276,0
277,1
278,4
279,0
280,9
281,3
282,3
283,3
284,3
285,0
286,3
287,5
288,3
289,3
290,8
291,1
292,0
293,0
294,1
295,6
296,4
297,5
298,6
299,1
300,7
301,1
302,7
303,7
304,4
305,4
306,8
307,3
308,9
309,8
310,6
311,0
312,3
313,5
314,4
315,0
316,8
317,9
318,4
319,8
320,4
321,8
322,0
323,3
324,9
325,6
326,0
327,0
328,5
329,2
330,8
331,5
332,0
333,1
334,6
335,7
336,0
337,4
338,4
339,0
340,8
341,3
342,4
343,7
344,5
345,5
346,3
347,1
348,7
349,1
350,2
351,6
352,2
353,1
354,6
355,2
356,7
357,7
358,8
359,9
360,9
361,3
362,9
363,5
364,8
365,7
366,6
367,1
368,6
369,0
370,1
371,2
372,6
373,3
374,4
375,8
376,2
377,0
378,4
379,9
380,6
381,3
382,4
383,1
384,4
385,2
386,8
387,8
388,6
389,2
390,8
391,0
392,5
393,8
394,3
395,6
396,3
397,5
398,2
399,7
400,0
401,0
402,2
403,7
404,1
405,4
406,3
407,5
408,2
409,6
410,5
411,8
412,2
413,1
414,8
415,4
416,6
417,3
418,8
419,9
420,1
421,8
422,0
423,5
424,4
425,1
426,3
427,7
428,7
429,0
430,6
431,3
432,0
433,1
434,6
435,8
436,9
437,6
438,1
439,3
440,2
441,3
442,2
443,8
444,4
445,0
446,9
447,2
448,7
449,7
450,4
451,6
452,8
453,5
454,1
455,6
456,6
457,1
458,5
459,2
460,7
461,0
462,9
463,7
464,3
465,7
466,8
467,2
468,5
469,0
470,2
471,9
472,0
473,7
474,7
475,1
